dish_id,image_path,calories,calorie_level,mass,fat,carb,protein,split
dish_1566590566,,186.959702,low,142.0,8.816879,8.613251,17.35244,train
dish_1561576483,,209.595428,low,371.0,8.536117,17.269756,18.4142,train
dish_1551135415,,288.27002,low,200.0,13.785,34.935001,9.41,val
dish_1557937157,,355.25,low,271.0,22.122999,14.700001,24.341999,val
dish_1562963033,,356.387299,low,316.0,33.375896,22.311859,33.670643,test
dish_1551563170,,137.089996,low,137.0,6.757,11.004,9.523,train
dish_1559843030,,25.410002,low,77.0,0.231,6.16,0.539,train
dish_1566330428,,290.690887,low,228.0,15.530232,8.83951,27.576401,val
dish_1551489931,,335.348022,low,157.0,25.953999,7.191,18.979,train
dish_1561578775,,295.148987,low,111.0,10.434,37.185001,12.432,train
dish_1550863381,,173.87999,low,218.0,0.582,45.09,2.103,train
dish_1573679065,,0.0,low,90.0,0.0,0.0,0.0,train
dish_1550874679,,13.6,low,40.0,0.28,2.72,0.28,train
dish_1550876969,,108.939995,low,57.0,8.67,3.971,4.84,val
dish_1558381742,,78.199997,low,68.0,7.276,4.284,0.544,train
dish_1551223346,,229.416016,low,146.0,3.528,38.502003,10.320001,test
dish_1572031606,,0.0,low,150.0,0.0,0.0,0.0,train
dish_1566501352,,75.529999,low,170.0,3.04,12.261001,1.564,train
dish_1563395480,,370.521423,low,329.0,14.106581,31.81958,29.161797,train
dish_1558641007,,23.369999,low,57.0,0.114,5.7,0.513,train
dish_1562008738,,64.066612,low,109.0,4.61,5.137444,2.1365,train
dish_1563221025,,245.445801,low,123.0,12.988835,4.359616,25.94677,train
dish_1561662501,,158.395508,low,165.0,7.063837,21.929186,6.882387,train
dish_1551314290,,14.57,low,31.0,0.031,3.72,0.279,train
dish_1551122871,,5.04,low,18.0,0.072,0.954,0.396,train
dish_1567785654,,51.779999,low,96.0,0.204,13.02,0.588,train
dish_1567023375,,248.566406,low,268.0,19.267872,8.701454,15.367283,val
dish_1567023161,,141.699997,low,134.0,6.124,5.028,16.524,train
dish_1551392752,,35.0,low,25.0,0.15,6.0,2.25,train
dish_1564503219,,213.859985,low,242.0,8.008,1.82,29.059999,train
dish_1568044528,,145.463409,low,233.0,3.040878,29.163124,1.829951,train
dish_1563309285,,59.450005,low,128.0,3.721,6.603,1.768,train
dish_1560444785,,313.079987,low,448.0,13.188,38.66,13.360001,test
dish_1573491352,,0.0,low,164.0,0.0,0.0,0.0,test
dish_1557937574,,5.59,low,13.0,0.065,1.196,0.182,train
dish_1573679123,,0.0,low,152.0,0.0,0.0,0.0,train
dish_1551376970,,125.389999,low,184.0,1.204,29.699999,2.723,train
dish_1550796330,,160.079987,low,305.0,0.606,41.360001,1.829,train
dish_1558721669,,24.25,low,97.0,0.291,4.85,1.746,test
dish_1559059954,,108.199997,low,20.0,8.4,0.28,7.4,train
dish_1566316681,,116.762924,low,122.0,2.97561,21.424391,1.190244,test
dish_1560800951,,102.825645,low,168.0,4.309042,14.129096,4.287562,test
dish_1563897870,,169.320007,low,249.0,3.486,29.879999,5.976,train
dish_1566850099,,113.057968,low,112.0,10.687347,4.140735,1.525551,train
dish_1574443257,,0.0,low,160.0,0.0,0.0,0.0,train
dish_1564601528,,142.740997,low,163.0,6.193,19.923,2.401,train
dish_1561491210,,251.097473,low,276.0,18.868792,23.314337,22.313339,train
dish_1557863170,,129.820007,low,142.0,11.426001,8.233999,2.266,val
dish_1561574215,,93.235489,low,134.0,7.88034,4.701405,2.220979,train
dish_1558640450,,80.079994,low,154.0,0.308,21.559999,0.462,train
dish_1551391034,,48.959999,low,72.0,1.008,8.639999,1.728,train
dish_1563555543,,268.380005,low,280.0,14.559,21.466,13.845,val
dish_1561752449,,287.849854,low,134.0,14.534126,14.237979,24.759119,train
dish_1550778172,,136.839996,low,182.0,8.895,5.528,8.724999,train
dish_1551563001,,60.900002,low,42.0,2.52,0.63,8.82,train
dish_1562958775,,227.182785,low,251.0,11.121791,29.460529,3.690952,val
dish_1558548666,,97.5,low,75.0,0.225,21.0,2.025,train
dish_1568320296,,226.014999,low,85.0,7.99,28.475,9.52,train
dish_1561578226,,119.220253,low,289.0,6.628325,13.898274,4.281533,train
dish_1558028194,,228.050003,low,172.0,11.903999,18.01,12.218,test
dish_1562096907,,297.779602,low,266.0,31.159481,13.237985,38.056858,train
dish_1560800918,,70.825645,low,40.0,3.925041,7.729096,1.983562,val
dish_1559245697,,163.716354,low,289.0,2.007221,36.953289,3.405009,train
dish_1566488928,,103.048294,low,147.0,2.219561,19.982441,1.327024,test
dish_1551142589,,189.929993,low,216.0,4.171,23.194998,15.785,train
dish_1561576295,,249.067139,low,232.0,16.084234,23.931339,4.035298,train
dish_1575393132,,0.0,low,162.0,0.0,0.0,0.0,train
dish_1550772753,,351.492004,low,102.0,27.846001,4.284,19.686001,train
dish_1551374332,,181.779984,low,221.0,0.789,41.790001,3.259,train
dish_1562010418,,209.545135,low,157.0,13.460272,7.343752,15.532299,train
dish_1560543583,,254.657333,low,350.0,22.387531,18.003635,24.094866,test
dish_1551235600,,83.659996,low,178.0,0.178,21.359999,1.602,train
dish_1550713503,,130.279999,low,187.0,4.62,2.799,20.27,train
dish_1558631872,,16.02,low,89.0,0.178,3.471,0.801,train
dish_1561060558,,194.199005,low,221.0,6.213,27.127001,10.253,test
dish_1571934494,,0.0,low,232.0,0.0,0.0,0.0,train
dish_1558029148,,38.880001,low,108.0,0.108,9.72,0.54,train
dish_1568044581,,386.223419,low,696.0,3.966878,32.404121,48.129951,val
dish_1572035321,,0.0,low,104.0,0.0,0.0,0.0,train
dish_1550788505,,165.189987,low,272.0,9.641999,26.720001,14.0,train
dish_1572031580,,0.0,low,90.0,0.0,0.0,0.0,train
dish_1551227628,,81.309998,low,243.0,0.701,16.920002,5.846,train
dish_1565984434,,319.892303,low,430.0,12.747005,36.362114,17.977343,train
dish_1560441529,,66.419998,low,152.0,0.325,16.469999,1.009,train
dish_1551235270,,317.286011,low,111.0,15.404001,26.206001,18.022999,train
dish_1558721380,,19.26,low,107.0,0.214,4.173,0.963,train
dish_1561996750,,29.67,low,43.0,0.086,7.74,0.301,train
dish_1561999287,,50.136581,low,90.0,2.546341,6.146341,2.107317,train
dish_1551392557,,64.32,low,12.0,4.2,6.36,0.84,train
dish_1550769882,,200.12999,low,192.0,9.096,19.914,9.93,train
dish_1551488415,,4.7,low,10.0,0.01,1.2,0.09,val
dish_1563913709,,337.888184,low,263.0,13.28425,42.313908,13.815399,train
dish_1561494032,,185.437851,low,307.0,14.117637,12.507152,5.158412,train
dish_1558629398,,21.76,low,64.0,0.448,4.352,0.448,val
