dish_id,calories,mass,fat,carb,protein,calorie_level,image_path
dish_1560527225,937.789368,503.0,65.745911,31.893578,52.88044,high,data/nutrition5k/images_expanded/dish_1560527225.png
dish_1564082462,905.354492,609.0,32.071827,40.532917,108.82251,high,data/nutrition5k/images_expanded/dish_1564082462.png
dish_1568401090,1158.98999,614.0,73.225998,18.445999,108.667999,high,data/nutrition5k/images_expanded/dish_1568401090.png
dish_1563476408,990.400024,513.0,47.925026,55.908291,79.199821,high,data/nutrition5k/images_expanded/dish_1563476408.png
dish_1563305083,1234.856323,901.0,56.759739,32.056351,147.491821,high,data/nutrition5k/images_expanded/dish_1563305083.png
dish_1563476577,1238.033691,857.0,62.574154,79.60125,87.671616,high,data/nutrition5k/images_expanded/dish_1563476577.png
dish_1564686832,829.737549,392.0,39.732468,64.516342,54.179504,high,data/nutrition5k/images_expanded/dish_1564686832.png
dish_1563304925,874.46106,508.0,29.339449,11.255851,133.227585,high,data/nutrition5k/images_expanded/dish_1563304925.png
dish_1562603867,1049.11731,369.0,74.496643,66.269196,32.184002,high,data/nutrition5k/images_expanded/dish_1562603867.png
dish_1563567372,951.910889,590.0,66.170242,81.629341,75.377937,high,data/nutrition5k/images_expanded/dish_1563567372.png
dish_1566590056,815.647644,519.0,34.712166,63.927059,62.926941,high,data/nutrition5k/images_expanded/dish_1566590056.png
dish_1563476463,1067.511108,542.0,50.651024,65.623291,82.447823,high,data/nutrition5k/images_expanded/dish_1563476463.png
dish_1568318408,907.119995,563.0,43.207996,9.174999,117.905998,high,data/nutrition5k/images_expanded/dish_1568318408.png
dish_1566328776,901.810059,436.0,28.684999,78.293999,77.723999,high,data/nutrition5k/images_expanded/dish_1566328776.png
dish_1558721827,886.523071,429.0,66.524002,59.541,32.415001,high,data/nutrition5k/images_expanded/dish_1558721827.png
dish_1563826306,882.837463,312.0,48.949856,69.584892,44.391125,high,data/nutrition5k/images_expanded/dish_1563826306.png
dish_1558637423,948.859009,409.0,66.363998,77.916,32.687,high,data/nutrition5k/images_expanded/dish_1558637423.png
dish_1563478751,950.395081,545.0,45.303986,54.133282,74.772202,high,data/nutrition5k/images_expanded/dish_1563478751.png
dish_1562603895,1268.157349,517.0,90.776642,68.637192,46.984001,high,data/nutrition5k/images_expanded/dish_1562603895.png
dish_1558375886,1050.511108,277.0,84.153,42.757,44.874004,high,data/nutrition5k/images_expanded/dish_1558375886.png
dish_1566328805,927.809998,488.0,28.737,85.054001,77.984001,high,data/nutrition5k/images_expanded/dish_1566328805.png
dish_1563480608,886.946472,650.0,40.421227,42.644722,83.222633,high,data/nutrition5k/images_expanded/dish_1563480608.png
dish_1565033265,1324.084961,625.0,106.343002,19.202002,76.664001,high,data/nutrition5k/images_expanded/dish_1565033265.png
dish_1558720236,887.823059,407.0,66.440002,60.460999,31.913002,high,data/nutrition5k/images_expanded/dish_1558720236.png
dish_1565811139,902.200012,416.0,62.632004,9.06,74.731003,high,data/nutrition5k/images_expanded/dish_1565811139.png
dish_1566502573,821.510193,487.0,43.20623,60.718185,51.18927,high,data/nutrition5k/images_expanded/dish_1566502573.png
dish_1565203094,898.019653,485.0,27.678381,37.98381,116.735558,high,data/nutrition5k/images_expanded/dish_1565203094.png
dish_1567801520,919.097168,600.0,42.248199,53.029022,79.971626,high,data/nutrition5k/images_expanded/dish_1567801520.png
dish_1566501153,1006.917969,419.0,83.761002,17.909,50.879002,high,data/nutrition5k/images_expanded/dish_1566501153.png
dish_1558725286,816.792053,308.0,65.965004,40.704002,33.318001,high,data/nutrition5k/images_expanded/dish_1558725286.png
dish_1566414342,846.367065,552.0,31.578682,53.343304,83.57795,high,data/nutrition5k/images_expanded/dish_1566414342.png
dish_1563304958,951.840942,614.0,34.427452,13.26985,141.707581,high,data/nutrition5k/images_expanded/dish_1563304958.png
dish_1566328831,941.609985,500.0,30.021,85.809998,78.080002,high,data/nutrition5k/images_expanded/dish_1566328831.png
dish_1564170010,1264.54834,831.0,61.893875,57.291939,116.862572,high,data/nutrition5k/images_expanded/dish_1564170010.png
dish_1565033220,908.60498,578.0,59.342999,19.202002,76.664001,high,data/nutrition5k/images_expanded/dish_1565033220.png
dish_1560357297,942.454041,492.0,71.887001,10.706,59.336998,high,data/nutrition5k/images_expanded/dish_1560357297.png
dish_1566414780,807.416321,651.0,35.501945,33.422516,102.633827,high,data/nutrition5k/images_expanded/dish_1566414780.png
dish_1558373492,888.22998,325.0,66.768997,42.290001,38.957001,high,data/nutrition5k/images_expanded/dish_1558373492.png
dish_1561753075,945.670715,668.0,47.436813,46.316841,82.687485,high,data/nutrition5k/images_expanded/dish_1561753075.png
dish_1558116298,854.690979,368.0,62.372002,48.107002,35.868004,high,data/nutrition5k/images_expanded/dish_1558116298.png
dish_1563827482,894.521667,621.0,55.955669,24.548782,77.380013,high,data/nutrition5k/images_expanded/dish_1563827482.png
dish_1564686855,1030.160645,435.0,52.116467,85.930336,56.845505,high,data/nutrition5k/images_expanded/dish_1564686855.png
dish_1566414412,920.120422,658.0,37.812386,57.062336,85.334846,high,data/nutrition5k/images_expanded/dish_1566414412.png
dish_1564685482,851.396545,337.0,49.484638,63.400967,40.429775,high,data/nutrition5k/images_expanded/dish_1564685482.png
dish_1566591048,876.201843,481.0,42.708851,12.67119,102.963142,high,data/nutrition5k/images_expanded/dish_1566591048.png
dish_1563305005,1003.948853,720.0,35.681553,23.725708,142.649384,high,data/nutrition5k/images_expanded/dish_1563305005.png
dish_1561577598,813.452026,393.0,46.151894,26.876921,67.191734,high,data/nutrition5k/images_expanded/dish_1561577598.png
dish_1568318480,1119.280029,587.0,67.208,9.174999,117.905998,high,data/nutrition5k/images_expanded/dish_1568318480.png
dish_1563476551,1116.391113,750.0,51.413692,74.705963,85.498482,high,data/nutrition5k/images_expanded/dish_1563476551.png
dish_1562180089,851.298767,437.0,57.796677,19.00104,60.67337,high,data/nutrition5k/images_expanded/dish_1562180089.png
dish_1558379876,1148.250977,374.0,89.766998,32.146,68.292,high,data/nutrition5k/images_expanded/dish_1558379876.png
dish_1558378634,874.966003,315.0,64.777,44.301998,37.979,high,data/nutrition5k/images_expanded/dish_1558378634.png
dish_1563305047,1032.31189,806.0,36.693317,28.700218,143.492493,high,data/nutrition5k/images_expanded/dish_1563305047.png
dish_1561752996,848.655762,415.0,42.90057,36.336651,76.788078,high,data/nutrition5k/images_expanded/dish_1561752996.png
dish_1566931674,990.989014,531.0,76.803001,23.140001,58.401997,high,data/nutrition5k/images_expanded/dish_1566931674.png
dish_1568305257,837.147766,420.0,65.496887,9.31325,52.072983,high,data/nutrition5k/images_expanded/dish_1568305257.png
dish_1566329049,814.930786,575.0,28.273495,79.15834,60.86187,high,data/nutrition5k/images_expanded/dish_1566329049.png
dish_1561737293,801.822021,636.0,46.077,55.828995,41.927002,high,data/nutrition5k/images_expanded/dish_1561737293.png
dish_1558373159,1013.337036,334.0,79.117996,30.505001,60.625,high,data/nutrition5k/images_expanded/dish_1558373159.png
dish_1566591080,909.629578,549.0,43.513371,19.378721,103.567314,high,data/nutrition5k/images_expanded/dish_1566591080.png
dish_1559244649,906.761047,455.0,40.265182,51.688858,83.275085,high,data/nutrition5k/images_expanded/dish_1559244649.png
dish_1562180157,1009.176697,557.0,72.163277,25.456959,63.837643,high,data/nutrition5k/images_expanded/dish_1562180157.png
dish_1560974769,3943.325195,3051.0,10.976549,844.568604,83.749603,high,data/nutrition5k/images_expanded/dish_1560974769.png
dish_1561753021,918.175781,573.0,46.218571,43.13065,81.844078,high,data/nutrition5k/images_expanded/dish_1561753021.png
dish_1560356627,980.047974,301.0,75.973999,6.92,63.124001,high,data/nutrition5k/images_expanded/dish_1560356627.png
dish_1560976044,124.670006,137.0,0.685,26.167,5.754,low,data/nutrition5k/images_expanded/dish_1560976044.png
dish_1559700851,61.089886,54.0,5.827236,1.897059,1.151647,low,data/nutrition5k/images_expanded/dish_1559700851.png
dish_1558637769,80.079994,154.0,0.308,21.559999,0.462,low,data/nutrition5k/images_expanded/dish_1558637769.png
dish_1558115241,85.470001,111.0,0.111,18.870001,2.22,low,data/nutrition5k/images_expanded/dish_1558115241.png
dish_1561578441,387.084412,309.0,18.797609,34.634628,20.267014,low,data/nutrition5k/images_expanded/dish_1561578441.png
dish_1558636514,16.02,89.0,0.178,3.471,0.801,low,data/nutrition5k/images_expanded/dish_1558636514.png
dish_1558642089,39.360001,96.0,0.192,9.6,0.864,low,data/nutrition5k/images_expanded/dish_1558642089.png
dish_1562615070,14.471023,50.0,0.641184,1.676942,0.443896,low,data/nutrition5k/images_expanded/dish_1562615070.png
dish_1564590226,220.535858,376.0,3.554219,46.892776,2.959488,low,data/nutrition5k/images_expanded/dish_1564590226.png
dish_1566931586,379.380005,389.0,15.281001,15.525999,46.593998,low,data/nutrition5k/images_expanded/dish_1566931586.png
dish_1558029230,88.549995,115.0,0.115,19.550001,2.3,low,data/nutrition5k/images_expanded/dish_1558029230.png
dish_1563566939,286.027252,238.0,6.804595,48.869175,10.508528,low,data/nutrition5k/images_expanded/dish_1563566939.png
dish_1562958721,125.724831,167.0,3.698547,21.363926,2.161744,low,data/nutrition5k/images_expanded/dish_1562958721.png
dish_1561405887,213.343475,139.0,5.735158,15.94918,23.363749,low,data/nutrition5k/images_expanded/dish_1561405887.png
dish_1576258685,0.0,267.0,0.0,0.0,0.0,low,data/nutrition5k/images_expanded/dish_1576258685.png
dish_1566329203,94.25,377.0,1.131,18.85,6.786,low,data/nutrition5k/images_expanded/dish_1566329203.png
dish_1572540934,0.0,357.0,0.0,0.0,0.0,low,data/nutrition5k/images_expanded/dish_1572540934.png
dish_1559243887,289.050018,50.0,24.75,11.35,11.200001,low,data/nutrition5k/images_expanded/dish_1559243887.png
dish_1562173175,165.366608,163.0,7.169495,13.684191,12.646373,low,data/nutrition5k/images_expanded/dish_1562173175.png
dish_1575308389,0.0,146.0,0.0,0.0,0.0,low,data/nutrition5k/images_expanded/dish_1575308389.png
dish_1562774206,298.76355,272.0,16.548098,26.31213,12.147001,low,data/nutrition5k/images_expanded/dish_1562774206.png
