dish_id,image_path,calories,calorie_level,mass,fat,carb,protein,split
dish_1558468731,,320.325012,low,440.0,11.752,17.750999,38.461998,train
dish_1566849269,,249.85202,low,153.0,17.626001,9.452,16.304001,train
dish_1563823292,,450.546722,medium,208.0,29.3622,7.701827,39.78804,train
dish_1551381365,,34.880001,low,16.0,0.464,7.2,0.96,train
dish_1559846585,,114.972008,low,201.0,0.201,30.551998,0.804,train
dish_1551139066,,42.050003,low,29.0,1.74,0.435,6.09,train
dish_1551235983,,194.699997,low,118.0,4.248,0.0,36.580002,train
dish_1561996612,,336.945984,low,220.0,19.657,24.637999,16.354,train
dish_1568314857,,295.537689,low,162.0,22.199564,10.236863,16.508799,train
dish_1551228296,,48.879997,low,94.0,0.188,13.16,0.282,train
dish_1560799558,,196.840012,low,74.0,7.178,24.42,8.14,train
dish_1550777827,,89.679993,low,178.0,0.401,19.720001,3.068,train
dish_1551488448,,92.75,low,78.0,6.030001,4.155,6.5,train
dish_1558031566,,140.660004,low,26.0,10.92,0.364,9.62,train
dish_1563567372,,951.910889,high,590.0,66.170242,81.629341,75.377937,train
dish_1558468547,,6.97,low,34.0,0.102,1.156,0.306,train
dish_1562872470,,286.3815,low,282.0,8.330789,21.324808,34.486359,train
dish_1550705504,,203.5,low,189.0,7.45,17.799999,15.139999,train
dish_1561575300,,326.780029,low,199.0,17.627951,9.163404,30.701891,train
dish_1563813360,,268.48291,low,163.0,16.533194,15.21166,15.767277,train
dish_1561576794,,654.721252,medium,738.0,28.151423,37.69186,63.457905,train
dish_1563218408,,245.339996,low,87.0,10.44,27.84,10.44,train
dish_1557861697,,13.144,low,53.0,0.106,3.127,0.53,train
dish_1550873218,,62.400002,low,39.0,5.85,3.51,0.78,train
dish_1562777099,,303.718628,low,306.0,16.921307,23.063019,15.643683,train
dish_1556575014,,71.299995,low,62.0,6.634,3.906,0.496,train
dish_1560455059,,25.550001,low,134.0,0.21,5.679,1.173,train
dish_1558114523,,104.057999,low,18.0,8.91,4.086,4.032,train
dish_1562690112,,428.202332,medium,207.0,31.908749,6.108017,28.666227,train
dish_1551122844,,97.379997,low,18.0,7.56,0.252,6.66,train
dish_1565640868,,395.97998,low,406.0,13.601999,19.803999,49.051003,train
dish_1565808943,,13.320001,low,74.0,0.148,2.886,0.666,train
