model,split,label,precision,recall,f1_score,support,accuracy
food_efficientnet_b0,val,burger,0.9411764705882353,0.96,0.9504950495049505,100.0,0.968
food_efficientnet_b0,val,pasta,0.99,0.99,0.99,100.0,0.968
food_efficientnet_b0,val,pizza,0.9696969696969697,0.96,0.964824120603015,100.0,0.968
food_efficientnet_b0,val,salad,0.9897959183673469,0.97,0.9797979797979798,100.0,0.968
food_efficientnet_b0,val,sushi,0.9504950495049505,0.96,0.9552238805970149,100.0,0.968
food_efficientnet_b0,val,accuracy,,,0.968,500.0,0.968
food_efficientnet_b0,val,macro avg,0.9682328816315005,0.968,0.968068206100592,500.0,0.968
food_efficientnet_b0,val,weighted avg,0.9682328816315005,0.968,0.968068206100592,500.0,0.968
food_efficientnet_b0,test,burger,0.9702970297029703,0.98,0.9751243781094527,100.0,0.964
food_efficientnet_b0,test,pasta,0.99,0.99,0.99,100.0,0.964
food_efficientnet_b0,test,pizza,0.941747572815534,0.97,0.9556650246305419,100.0,0.964
food_efficientnet_b0,test,salad,0.9514563106796117,0.98,0.9655172413793104,100.0,0.964
food_efficientnet_b0,test,sushi,0.967741935483871,0.9,0.9326424870466321,100.0,0.964
food_efficientnet_b0,test,accuracy,,,0.964,500.0,0.964
food_efficientnet_b0,test,macro avg,0.9642485697363974,0.9640000000000001,0.9637898262331875,500.0,0.964
food_efficientnet_b0,test,weighted avg,0.9642485697363975,0.964,0.9637898262331874,500.0,0.964
