model,split,label,precision,recall,f1_score,support,accuracy
food_resnet18_baseline,val,burger,0.9595959595959596,0.95,0.9547738693467337,100.0,0.958
food_resnet18_baseline,val,pasta,0.98,0.98,0.98,100.0,0.958
food_resnet18_baseline,val,pizza,0.9238095238095239,0.97,0.9463414634146341,100.0,0.958
food_resnet18_baseline,val,salad,0.9696969696969697,0.96,0.964824120603015,100.0,0.958
food_resnet18_baseline,val,sushi,0.9587628865979382,0.93,0.9441624365482234,100.0,0.958
food_resnet18_baseline,val,accuracy,,,0.958,500.0,0.958
food_resnet18_baseline,val,macro avg,0.9583730679400781,0.958,0.9580203779825214,500.0,0.958
food_resnet18_baseline,val,weighted avg,0.9583730679400784,0.958,0.9580203779825213,500.0,0.958
food_resnet18_baseline,test,burger,0.9705882352941176,0.99,0.9801980198019802,100.0,0.946
food_resnet18_baseline,test,pasta,0.9795918367346939,0.96,0.9696969696969697,100.0,0.946
food_resnet18_baseline,test,pizza,0.8596491228070176,0.98,0.9158878504672897,100.0,0.946
food_resnet18_baseline,test,salad,0.9791666666666666,0.94,0.9591836734693877,100.0,0.946
food_resnet18_baseline,test,sushi,0.9555555555555556,0.86,0.9052631578947369,100.0,0.946
food_resnet18_baseline,test,accuracy,,,0.946,500.0,0.946
food_resnet18_baseline,test,macro avg,0.9489102834116101,0.946,0.9460459342660729,500.0,0.946
food_resnet18_baseline,test,weighted avg,0.9489102834116102,0.946,0.9460459342660728,500.0,0.946
