model,split,label,precision,recall,f1_score,support,accuracy
nutrition5k_efficientnet_b0_baseline,val,low,1.0,0.2,0.3333333333333333,10.0,0.3333333333333333
nutrition5k_efficientnet_b0_baseline,val,medium,0.21428571428571427,1.0,0.35294117647058826,3.0,0.3333333333333333
nutrition5k_efficientnet_b0_baseline,val,high,0.5,0.2,0.2857142857142857,5.0,0.3333333333333333
nutrition5k_efficientnet_b0_baseline,val,accuracy,,,0.3333333333333333,18.0,0.3333333333333333
nutrition5k_efficientnet_b0_baseline,val,macro avg,0.5714285714285714,0.4666666666666666,0.3239962651727358,18.0,0.3333333333333333
nutrition5k_efficientnet_b0_baseline,val,weighted avg,0.7301587301587301,0.3333333333333333,0.3233737939620292,18.0,0.3333333333333333
nutrition5k_efficientnet_b0_baseline,test,low,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0,0.5
nutrition5k_efficientnet_b0_baseline,test,medium,0.42857142857142855,0.9,0.5806451612903226,10.0,0.5
nutrition5k_efficientnet_b0_baseline,test,high,1.0,0.2857142857142857,0.4444444444444444,7.0,0.5
nutrition5k_efficientnet_b0_baseline,test,accuracy,,,0.5,26.0,0.5
nutrition5k_efficientnet_b0_baseline,test,macro avg,0.6984126984126983,0.4693121693121693,0.4528076463560335,26.0,0.5
nutrition5k_efficientnet_b0_baseline,test,weighted avg,0.6648351648351648,0.5,0.4583677970774745,26.0,0.5
