model,split,label,precision,recall,f1_score,support,accuracy
portion_efficientnet_b0,val,small,0.5555555555555556,0.38461538461538464,0.45454545454545453,13.0,0.4666666666666667
portion_efficientnet_b0,val,medium,0.44,0.6111111111111112,0.5116279069767442,18.0,0.4666666666666667
portion_efficientnet_b0,val,large,0.45454545454545453,0.35714285714285715,0.4,14.0,0.4666666666666667
portion_efficientnet_b0,val,accuracy,,,0.4666666666666667,45.0,0.4666666666666667
portion_efficientnet_b0,val,macro avg,0.4833670033670034,0.450956450956451,0.45539112050739955,45.0,0.4666666666666667
portion_efficientnet_b0,val,weighted avg,0.47790796857463524,0.4666666666666667,0.46040873854827347,45.0,0.4666666666666667
portion_efficientnet_b0,test,small,0.5,0.2,0.2857142857142857,15.0,0.3333333333333333
portion_efficientnet_b0,test,medium,0.2727272727272727,0.375,0.3157894736842105,16.0,0.3333333333333333
portion_efficientnet_b0,test,large,0.35294117647058826,0.42857142857142855,0.3870967741935484,14.0,0.3333333333333333
portion_efficientnet_b0,test,accuracy,,,0.3333333333333333,45.0,0.3333333333333333
portion_efficientnet_b0,test,macro avg,0.375222816399287,0.3345238095238095,0.3295335111973482,45.0,0.3333333333333333
portion_efficientnet_b0,test,weighted avg,0.37344028520499106,0.3333333333333333,0.3279489045193629,45.0,0.3333333333333333
